datafile,sampname,variety,type,flavor,flowers,dry wt,Acetic acid butyl ester,Sabinene,β-Pinene,β-Myrcene,4-hexen-1-ol acetate,Eucalyptol,β-Ocimene,Benzeneacetaldehyde,ɣ-Terpinene,cis-Linalool oxide,trans-Linalool oxide,Linalool,"(E)-4,8-Dimethylnona-1,3,7-triene",Camphor,ɑ-Terpineol,Estragole,Fenchyl acetate,cis-Geraniol,trans-Geraniol,Cuminal,Citral,Bornyl acetate,"1,5,5-Trimethyl-6-methylene-cyclohexene","Unknown 43, 69, 55",ɑ-Cubebene,Eugenol,ɑ-Ylangene,Methyl cinnamate,Longicyclene,Methyleugenol,β-Elemene,Isolongifolene,cis-Bergamotene,"Unknown 95, 161, 107",Aromadendrene,Longifolene,β-Ylangene,β-Caryophyllene,ɑ-Bergamotene,β-Copaene,ɑ-Guaiene,Calarene,δ-Muurolene,ɑ-Muurolene,Humulene,(+)-epi-Bicyclosesquiphellandrene,ɣ-Muurolene,Germacrene D,Lavandulyl propionate,Valencene,"Unknown 43, 81, 105",ɑ-Amorphene,Aciphyllene,δ-Guaiene,ɣ-Cadinene,δ-Cadinene,"1,4-Cadinadiene",ɑ-Cadinene," [S-(Z)]- 3,7,11-trimethyl-1,6,10-Dodecatrien-3-ol","(3E,7E)-4,8,12-Trimethyltrideca-1,3,7,11-tetraene",Benzenecycloheptene,β-Elemenone,"Unknown 71, 43, 79",Spathulenol,"Unknown 109, 81, 43",Thymyl tiglate,Epicubenol,Methyl jasmonate,tau-Cadinol,"Unknown 161, 204, 105","Unknown 43, 105, 204",2-(1-phenylethyl)-Phenol,"Unknown 43, 55, 93","Unknown 43, 95, 41","2,6,10,14-Tetramethyl-7-(3-methylpent-4-enylidene) pentadecane","Unknown 161, 204, 43","Unknown 161, 43, 205"
,,,,,,RI,808,978,983,990,1002,1038,1048,1049,1064,1078,1092,1099,1116,1158,1199,1204,1205,1233,1257,1271,1274,1296,1351,1354,1364,1366,1390,1393,1399,1406,1407,1416,1428,1430,1433,1434,1440,1444,1448,1451,1455,1458,1466,1472,1478,1485,1494,1504,1510,1511,1511,1516,1519,1526,1534,1540,1553,1557,1568,1582,1585,1598,1613,1618,1618,1631,1640,1658,1663,1690,1739,1739,1766,1810,1845,1964,1987
basil0622_28.D,28atc123t1,aroma 2,flower,swt bas,10,0.2032,0,77.89705632,199.2229882,839.5798273,0,2547.11818,2509.340714,0,0,0,0,41436.19719,0,667.3246391,396.8939331,0,0,0,0,255.5191939,0,3841.258184,230.5731877,52.22126872,229.3325452,2933.585839,59.26123869,15.73976974,102.755613,0,7711.329722,0,0,0,0,0,2884.052124,172.0546655,0,1035.087693,2381.198882,0,3369.554653,0,761.3479854,247.1864084,0,2191.280118,323.1064498,0,276.0565695,0,607.786773,3512.699091,1239.444651,270.5556341,33.1862851,54.32754586,47.17652706,0,0,0,59.29372636,0,60.38447944,0,191.3624658,0,1482.732585,0,360.1542157,0,303.2047933,0,17.59522246,92.71385558,209.3165416
basil0622_30.D,30atc3t1,aroma 2,leaf,swt bas,1,0.036,0,0,0,0,0,3055.983096,0,0,0,0,0,3092.611317,0,0,0,326.325828,0,0,0,10268.44811,0,0,0,1381.853516,0,0,758.1872524,0,8566.014818,0,0,16992.54793,0,33085.09159,7381.979056,29638.22244,0,0,0,0,2010.348867,0,0,0,0,0,0,0,11267.81983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9294.470802,0,0,0,0,17414.24356,13580.65434,0,0,0,0,0
basil0622_35.D,36atc120t1,aroma 2,flower,swt bas,11,0.1692,0,0,0,0,0,1924.966373,1540.791932,0,0,0,0,21664.33022,0,88.49914842,168.8473646,0,0,0,0,366.0913294,0,1472.588063,51.79540832,33.78187493,186.8213039,2709.348952,0,0,21.34547083,0,1792.246827,0,0,0,0,0,709.0421215,164.4604127,0,263.6136993,878.3808109,0,1015.081415,0,203.3488724,88.07699276,0,473.6985361,231.9373076,101.466585,101.6058211,0,145.2451829,812.6830074,539.6351919,75.75256665,0,0,0,0,0,0,0,0,0,0,87.63358356,0,616.8381338,0,283.8375105,14.07943993,196.2293959,0,0,0,56.07966902
basil0622_70.D,70cic120t2,aroma 2,flower,swt bas,16,0.2023,0,0,0,602.8625845,0,161.0644548,1362.993089,0,178.5438155,0,0,23096.99163,0,212.8924212,20.96984976,0,0,0,19.07912471,59.97473457,0,605.9574298,465.3124157,6.8079898,482.5349465,202.7876302,36.0548156,24.00258481,129.2946979,0,8822.341917,0,0,0,0,0,3246.540895,260.7525899,424.5934866,1183.009541,2822.935286,0,4325.778299,0,1123.120565,294.502714,0,2420.892575,0,0,0,0,632.8773317,3735.725675,945.858593,118.7068291,0,0,35.23826119,0,0,0,0,0,0,0,55.02040282,0,201.951903,0,0,4.50095751,0,0,0,48.44358463,123.416509
basil0622_04.D,4cic14t1,cinnamon,flower,clove,15,0.2692,1037.68672,21.57534745,48.54734653,191.6690164,0,491.9495248,521.8944171,332.6678742,21.7443909,71.2554219,0,9025.981355,78.27543842,80.64177525,31.5439198,4287.12477,0,0,0,160.5949623,0,117.6202264,45.3726751,19.38206292,0,8.83496417,0,2268.998013,13.39977899,1.6847379,794.6693803,0,0,0,0,0,321.6546169,24.36695571,90.42153373,124.2965377,303.6179817,0,408.3611781,33.48006773,135.5056532,30.87789138,58.07587426,688.4222673,132.2190585,135.1554347,93.89524224,158.2947844,170.0922516,421.8919402,254.1776783,155.7137943,19.07375672,27.10697056,18.64334251,0,25.74473448,26.31542893,0,0,0,0,34.53395515,0,261.5935756,0,80.55821663,8.43861478,31.74416046,0,0,0,0
basil0622_17.D,17cic52t1,cinnamon,leaf,clove,1,0.0444,0,0,0,0,0,0,0,32975.20447,0,0,0,6721.989392,0,0,0,0,0,0,0,0,0,0,0,1900.71461,0,0,0,18059.99866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,767.4834426,0,0,0,0,0,0,1539.332006,0,0,0,0,0,596.4880173,0,2658.843078,0,0,0,0,0,0,0,0
basil0622_44.D,44cic14t1,cinnamon,flower,clove,1,1,0,0,0,0,0,671.0862292,1920.272481,1923.632852,129.0992805,241.9576394,0,77608.33072,0,0,136.0779715,9847.604784,0,0,0,1261.980531,0,0,898.5109597,123.2946816,0,0,0,60297.02292,166.1606165,17.19311475,10333.82665,0,0,0,0,0,5744.488074,230.3755185,435.2420734,2489.385186,3006.294071,501.365725,7368.592458,0,1156.552784,678.4963957,51.1179254,5457.319257,837.8664877,0,702.3042461,1087.410173,1321.051843,4301.751777,3892.931533,495.3162562,0,199.8709169,881.6962141,0,88.45421906,3838.384638,0,0,0,0,968.6752352,0,7033.781979,0,1987.003414,0,782.76486,986.8045899,80.04126634,0,412.4954423
basil0622_75.D,75cic2t2,cinnamon,flower,clove,19,0.2232,0,0,0,0,0,45.6756898,101.4320988,0,0,0,0,2663.169924,0,0,0,330.5857515,0,0,0,177.4745651,0,0,11.27882928,0,0,0,0,2683.384298,0,0,244.9998915,0,0,0,0,0,155.1903123,6.38406805,0,72.5074172,82.65957343,0,154.1750522,0,28.00130046,17.84271753,0,75.71771797,0,0,0,0,18.89494732,19.11785961,113.8417801,13.28732553,0,0,0,0,0,96.2871332,0,0,0,0,21.05096476,0,118.9980355,0,66.83483034,0,29.77654165,0,7.08062805,0,20.84480466
basil0622_37.D,37gvc112t1,genovese,leaf,swt bas,1,0.0419,0,0,0,0,0,5604.728587,0,0,0,0,0,17108.44492,0,0,884.8258067,0,0,0,0,4583.835855,0,0,0,294.8205894,0,9996.519377,2103.019283,0,8441.165895,0,0,16807.03762,0,36648.83145,5531.784835,28280.17915,0,0,4237.02942,0,0,0,0,0,0,0,0,0,3085.892792,0,0,0,0,0,951.3328216,0,0,0,3109.68506,0,0,0,0,0,0,14715.18382,0,0,1446.218594,0,16222.46779,16167.69876,0,0,0,0,0
